classical, classical_games, classical_rd, rapid, rapid_games, rapid_rd, blitz, blitz_games, blitz_rd, league_games
1843,171,148,1935,943,79,1726,684,140,32
1764,101,92,1815,197,142,1766,873,79,29
1782,92,164,1773,112,158,1708,2377,51,19
2100,601,70,2116,2249,121,1913,3892,45,98
1666,32,169,1880,143,82,1767,4162,47,13
1806,24,166,1865,864,97,1896,6998,45,8
1622,26,220,1622,15,233,1483,2,272,8
2156,5,267,2141,232,108,2022,1579,97,5
1841,306,137,1837,744,106,1751,4966,80,86
2023,16,210,2022,73,185,2050,176,149,10
2064,98,121,2152,1668,96,2006,3544,54,39
1794,8,252,1798,153,90,1588,197,82,7
1879,52,190,1886,300,160,2001,4934,46,33
1417,10,226,1401,24,196,1394,1256,97,9
1802,29,163,1773,753,121,1574,2196,79,8
1765,8,262,1765,22,233,1605,84,173,5
2040,37,168,2048,207,130,2082,426,103,26
1918,43,219,1840,134,160,1564,780,152,32
1861,58,171,1855,715,88,1646,688,59,23
1886,54,100,1920,859,92,1831,3382,45,21
1924,83,168,1963,231,166,1888,3759,91,2
1843,6,254,1907,349,91,1825,1679,46,3
2088,271,88,2043,1960,80,1816,3817,66,6
1770,333,173,1692,41,214,1370,51,171,32
1339,20,169,1588,223,124,1523,385,120,2
1762,8,254,1762,102,229,1635,529,204,6
1580,18,233,1580,1127,228,1192,425,234,1
1592,112,168,1630,724,140,1538,1307,123,5
1490,132,158,1422,851,157,1348,597,158,1
1603,12,200,1587,408,144,1668,1468,97,8
2003,53,162,1999,275,153,1818,412,138,9
2024,94,112,2065,12,184,1852,1735,46,61
2378,945,120,2297,64,195,1500,0,500,9
2175,79,175,2230,366,156,2050,4401,128,51
1846,56,218,1914,106,166,1826,5812,81,8
2011,18,172,1970,700,117,2157,6839,45,1
1771,11,198,1771,191,199,1582,294,160,4
1757,11,210,1836,49,173,2001,158,66,8
1610,53,150,1664,125,99,1344,439,74,8
1673,28,204,1673,90,192,1427,1552,157,24
1783,78,161,1809,732,151,1735,1151,92,18
1964,77,180,1920,46,188,1714,603,181,53
1572,238,155,1918,2829,73,1636,5778,62,37
1563,17,212,1553,65,190,1337,115,118,3
1843,16,197,1843,123,197,1880,204,197,1
1778,131,173,2084,714,112,2119,6704,54,15
2190,12,182,2198,70,168,2244,2944,54,8
2011,74,203,1969,712,186,1954,1442,130,6
2148,441,99,2239,2875,57,2085,8955,47,119
1204,9,209,1784,3376,53,1325,45,152,1
2165,268,128,2205,1269,83,2132,4244,61,1
1897,9,247,1861,29,159,1755,1497,102,8
2022,151,163,2024,86,143,2050,4319,51,13
1992,253,150,2288,364,93,2049,6092,64,18
1787,6,250,1804,79,168,2005,4710,128,6
1871,24,138,1827,326,84,1869,2103,46,3
2007,129,217,2007,149,226,1755,440,223,8
2060,36,151,1876,41,155,1877,1718,107,21
2086,1224,56,2128,9040,45,1954,8360,45,1
1838,22,204,1838,17,210,1762,627,206,11
1536,236,155,1436,86,158,1025,251,67,31
1914,46,161,2165,89,118,1898,4215,55,1
2290,84,101,2604,5141,49,2444,8889,46,8
1901,72,170,2035,566,147,1884,1444,49,1
1946,898,124,1918,592,87,1872,10263,45,6
1593,188,196,1599,561,107,1353,2040,97,9
2181,7,254,2181,71,218,1747,7,245,1
1671,110,154,1596,342,148,1529,3310,45,15
2073,11,204,2180,156,178,2100,1255,115,7
1863,6,236,1674,366,61,1455,46,191,2
2065,186,105,2228,1489,61,2049,6424,48,51
1986,197,135,1892,99,154,1791,272,150,58
1809,144,80,1979,66,110,1758,115,108,93
1821,82,122,1827,773,116,1988,6309,45,5
2096,149,90,2121,372,107,1989,1216,45,41
2010,189,111,2329,2509,50,2195,4046,45,17
1787,37,152,1874,669,138,1690,1440,118,8
1952,16,162,1949,143,166,1840,995,144,3
2051,12,211,2025,106,160,1792,399,118,5
1732,45,210,1732,17,209,1544,2,255,8
1276,24,206,1276,41,210,1155,21,210,8
1565,34,116,1528,467,156,1267,3052,48,26
1685,42,168,1641,141,113,1501,562,112,1
2508,8,254,2508,509,202,2285,6843,174,8
1201,345,146,1460,304,88,938,19,159,8
1921,1818,175,1924,1177,176,1908,7250,117,37
1894,38,202,1894,884,214,1496,2,411,23
1798,148,78,1633,471,99,1401,296,70,8
1977,30,204,1914,279,159,2130,1453,59,14
1617,140,164,1581,200,101,1231,904,86,8
1980,21,209,2001,15,185,2000,2097,88,5
1876,138,151,1869,4,404,1737,82,212,8
1910,681,67,1748,1940,155,1951,8063,45,74
2627,14,201,2560,160,181,2340,629,172,1
1634,34,204,1634,8,259,1027,8,272,8
1832,155,185,1937,507,100,2052,764,50,4
1887,460,145,2112,1794,85,1879,6207,45,16
2078,57,157,2311,1487,67,2133,1725,70,1
2078,15,187,2039,292,172,2275,1966,103,10
1483,12,208,1489,584,184,1569,3357,58,9
2201,134,74,2456,2352,60,2331,4039,58,8
1830,40,118,1870,100,93,1917,4249,45,8
1695,21,168,1950,332,132,1736,3711,71,1
1778,78,165,1608,240,157,1484,231,168,35
1982,25,84,2037,253,92,1833,4639,45,1
2026,52,166,2209,673,161,1908,493,148,23
2099,464,84,2009,852,109,2020,3489,75,134
1857,180,173,1703,491,163,1661,6374,157,8
2122,6,250,2115,296,72,2278,5479,53,8
1893,2794,53,1990,2021,58,2033,5871,45,184
1522,7,258,1510,144,170,1416,76,158,7
1807,28,208,1920,232,116,1680,3905,86,22
1575,83,157,1563,115,187,1405,215,128,22
1867,253,73,1606,28,172,1616,69,125,164
2306,177,92,2234,66,203,2007,784,135,60
2049,188,115,2223,654,58,2224,13658,45,8
2286,11,196,2286,61,217,2426,2858,45,3
1971,301,90,2025,1235,64,2083,22394,45,40
2140,7,247,2220,136,150,2133,5495,45,4
2185,15,206,2185,81,214,2026,3945,103,7
1545,52,202,1529,821,167,1287,341,141,32
1716,378,121,1865,1028,63,1638,3370,45,11
2080,6,254,2080,20,228,2043,2680,64,7
1721,20,155,1734,351,103,1302,3,302,10
2240,327,73,2235,1358,49,2063,2164,50,61
1355,11,219,1265,215,99,906,320,85,7
1585,93,190,1474,181,194,1215,205,195,15
1500,57,180,1618,287,162,1685,1963,112,19
1744,81,203,1744,407,206,1601,245,200,8
1808,155,146,1544,337,146,1600,1738,45,8
1890,81,170,1925,103,205,1856,499,213,77
1492,26,180,1434,19,186,1345,5,216,7
1965,89,106,2032,58,76,1781,7074,45,24
1962,247,144,1784,224,144,1833,4572,45,7
1740,99,56,1804,135,65,1599,72,106,17
1820,32,163,2000,573,53,1814,1814,66,6
1801,73,189,1784,380,188,1670,394,188,12
2012,1402,61,2132,883,98,2000,2145,95,111
1768,10,207,1719,45,100,1613,673,80,8
1509,110,111,1530,667,73,1103,276,125,28
1601,34,135,1417,98,147,1160,92,132,1
1731,43,210,1685,189,157,1490,511,121,18
1596,27,210,1780,32,167,1643,241,99,7
2141,10,196,2142,1011,167,2380,3743,45,8
1894,30,192,1993,135,161,2078,1450,69,8
1109,8,221,1244,63,178,983,96,172,4
1723,49,157,1764,200,121,1377,396,123,5
2124,20,105,2240,23,176,2209,167,98,2
2074,86,100,2015,534,118,2107,8289,45,40
2052,96,174,2085,922,189,2103,3860,202,41
1996,35,222,1996,2,410,1637,11,216,8
2123,296,61,2162,826,112,2122,4617,45,70
1868,77,121,1592,122,116,1502,100,119,19
1729,28,219,1770,60,168,1413,2367,50,8
1473,5,246,1473,153,208,1251,399,205,8
1723,8,253,1723,44,216,1568,1115,110,8
1802,12,192,1776,108,177,1836,6401,52,8
2116,26,157,1998,559,79,2148,4881,48,5
2017,30,164,2097,35,146,1983,2057,71,6
1685,194,157,1606,96,161,1314,126,128,25
2241,325,71,2505,1187,47,2264,4995,48,89
1998,10,213,2246,57,104,2341,1176,66,1
1843,38,172,1867,121,150,1948,3007,68,1
1594,121,156,1692,395,152,1469,1260,137,14
1567,9,237,1455,147,153,1509,442,107,8
2524,105,120,2265,247,151,2471,12934,54,77
1978,11,207,2211,223,128,2039,1117,70,8
1491,13,211,1570,83,112,1397,1768,45,2
1920,322,131,1693,647,143,1702,928,114,79
2081,26,202,2136,22,188,2124,11135,45,23
1610,1203,158,1572,394,147,1404,20,204,16
2339,128,97,2220,163,144,2508,7580,45,58
1414,2,404,1412,62,183,1434,53,169,1
2386,33,190,2552,359,170,2477,3542,46,2
2217,1888,57,2387,1230,51,2256,4464,45,71
1747,13,208,1747,91,209,1753,57,91,2
2156,32,208,2144,114,180,2095,2402,45,1
2016,6,256,2016,22,224,1779,10,155,2
1844,60,118,1695,330,126,1501,309,141,18
2127,11,215,2127,78,212,2010,158,102,4
1624,12,167,1514,123,128,1289,61,149,2
1918,10,221,1918,52,212,1603,410,209,1
2044,28,166,2071,69,139,2042,2686,105,12
1762,6,245,1762,32,202,1703,5,245,1
1973,91,190,1951,94,190,1698,879,198,18
1902,4,404,1852,1038,188,1801,277,94,3
2168,25,120,2182,54,129,2179,771,109,1
1631,26,167,1624,88,167,1750,7212,45,15
1708,123,166,1986,884,60,1615,2110,74,8
1752,114,160,2144,110,91,1854,167,54,60
1672,6,258,1421,110,167,1286,124,174,8
2063,77,98,2042,938,70,1972,2193,55,1
2012,16,152,2146,171,89,2104,1570,92,1
1360,71,191,1335,20,200,1176,168,190,16
1935,33,189,1949,169,153,1675,1397,84,18
1777,470,104,1921,556,75,1709,2295,45,1
2248,11,211,2279,29,202,2339,5768,45,1
2007,424,156,2260,10654,86,2257,20415,45,21
2024,6,221,1904,80,155,2033,3503,62,2
2271,6,246,2278,42,164,2153,1398,64,7
1648,940,104,1744,179,145,1150,204,134,155
1894,784,59,1665,1520,116,1600,370,50,8
1808,19,207,1979,436,93,1570,2391,60,1
1656,97,173,1584,902,159,1411,1401,98,16
2185,3,401,2185,22,211,2004,39,96,2
1889,258,157,1835,155,161,1410,213,161,2
1429,452,71,1213,152,151,1158,17,196,43
1619,65,122,1607,126,141,1417,556,109,18
2171,3,404,2233,189,131,2156,2376,62,3
1492,14,198,1492,25,211,1471,1449,145,16
1612,653,165,1345,74,167,1180,477,89,16
2131,21,200,2140,51,193,2211,3200,115,10
1646,12,207,1569,28,147,1376,146,115,8
